排名,代號,名稱,成交,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),ROE(%),ROE增減,ROA(%),ROA增減,財報評分
458,1615,大山,47.55,2025,57.2,-2.57,13,16.2,9.45,27.5,22.7,3.67,16.5,3.9,4.81,0.85,23.6,0.96,16.5,1.26,55
459,3289,宜特,180.0,2025,48.4,11.4,13.1,7.37,3.67,-23.8,27.0,-1.02,6.91,-3.87,4.81,-1.69,8.2,-5.56,3.9,-2.02,39
460,6122,擎邦,50.8,2025,41.9,1.36,6.14,16.3,3.69,7.18,14.7,1.88,8.81,0.48,4.78,0.37,19.7,-0.29,7.54,-0.69,41
461,3045,台灣大,112.5,2025,"1,988",-0.31,410,3.18,144,4.49,20.6,0.7,8.15,0.23,4.77,0.2,17.2,0.33,6.81,0.29,49
462,2492,華新科,147.0,2025,365,4.91,63,-2.79,23,-22.9,17.3,-1.37,8.24,-2.78,4.74,-1.41,4.96,-1.7,2.95,-1.0,43
463,5212,凌網,48.2,2025,13.2,15.9,6.86,17.1,1.64,23.5,52.1,0.55,12.7,0.9,4.74,0.9,26.1,3.23,11.7,0.06,64
464,8284,三竹,63.8,2025,29.6,6.07,6.74,2.58,2.2,-14.7,22.8,-0.77,7.43,-1.81,4.74,-0.82,16.2,-3.75,10.6,-2.24,60
465,4581,光隆精密-KY,51.0,2025,10.9,0.33,3.6,2.31,1.6,-5.75,33.2,0.64,14.8,-0.95,4.73,-0.29,13.5,-1.91,7.47,-2.1,60
466,6592,和潤企業,64.5,2025,237,-18.2,142,-14.3,33.8,10.5,60.0,2.73,14.5,3.2,4.72,0.28,8.08,0.06,1.05,0.02,47
467,4104,佳醫,79.1,2025,87.9,2.94,18.7,4.88,8.06,4.49,21.3,0.4,11.0,-0.39,4.7,-0.02,8.37,-0.35,4.91,-0.14,47
468,6807,峰源-KY,38.6,2025,42.6,-14.7,7.9,-14.5,2.53,-47.2,18.5,0.05,5.94,-3.65,4.69,-4.19,9.77,-10.7,6.59,-6.65,53
