排名,代號,名稱,成交,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,EPS(元),EPS增減(元),ROE(%),ROE增減,ROA(%),ROA增減,財報評分
1,6669,緯穎,3805.0,2025,"9,507",164.0,785,110.0,511,124.0,8.25,-2.12,5.38,-0.94,275.06,148.49,48.0,13.1,19.3,3.03,47
2,3008,大立光,2605.0,2025,611,2.84,308,-1.19,213,-17.9,50.4,-2.06,35.3,-8.82,159.41,-34.76,11.5,-3.48,9.86,-2.87,85
3,5274,信驊,13805.0,2025,90.8,40.6,61.8,48.7,39.3,52.8,68.0,3.71,43.2,3.43,103.92,35.88,59.5,5.18,43.5,1.59,91
4,2059,川湖,3640.0,2025,175,72.8,133,90.1,98.4,59.8,76.0,6.92,56.2,-4.56,103.23,38.64,39.9,7.26,32.0,5.8,93
5,7769,鴻勁,4500.0,2025,303,116.0,171,122.0,124,134.0,56.5,1.51,40.8,3.06,75.71,42.76,34.5,-6.14,26.0,-1.3,91
6,5269,祥碩,1270.0,2025,134,66.0,70.1,59.9,54.3,45.4,52.2,-1.99,40.4,-5.74,72.7,21.13,15.6,1.51,14.1,1.18,79
7,3533,嘉澤,2490.0,2025,338,12.3,173,9.92,78.7,-15.2,51.3,-1.1,23.5,-7.65,70.17,-12.6,20.3,-7.58,15.8,-5.49,79
8,3661,世芯-KY,3515.0,2025,309,-40.5,81.5,-20.1,56,-13.1,26.4,6.74,18.1,5.69,69.18,-12.16,13.9,-8.48,10.3,-5.25,66
9,2330,台積電,2030.0,2025,"38,091",31.6,"22,813",40.4,"17,179",46.4,59.9,3.77,45.0,4.53,66.26,21.01,35.1,5.03,23.5,4.28,91
10,2454,聯發科,1925.0,2025,"5,960",12.3,"2,831",7.48,"1,053",-1.0,47.5,-2.14,17.8,-2.39,66.16,-0.76,26.1,-1.43,14.7,-1.35,68
11,2357,華碩,599.0,2025,"7,389",25.9,"1,116",7.87,446,41.9,15.1,-2.52,6.53,0.69,59.99,17.72,16.2,3.9,8.12,1.51,38
12,3017,奇鋐,2400.0,2025,"1,396",94.6,360,114.0,192,135.0,25.8,2.3,15.0,2.19,49.17,27.96,49.9,18.9,16.1,5.4,60
13,2404,漢唐,1025.0,2025,661,39.4,132,55.4,90.7,46.5,20.0,2.07,13.9,0.66,48.08,15.14,54.2,8.45,14.6,1.16,64
14,2345,智邦,2070.0,2025,"2,483",125.0,449,97.1,263,120.0,18.1,-2.55,10.6,-0.27,47.13,25.64,55.9,17.0,22.9,6.13,57
15,6515,穎崴,10305.0,2025,78.6,35.5,35.6,40.4,16.7,41.1,45.3,1.57,21.3,0.84,46.93,12.62,27.9,1.65,20.1,1.08,74
16,3665,貿聯-KY,2365.0,2025,712,31.7,226,48.2,90.1,105.0,31.7,3.52,12.6,4.52,46.57,21.16,21.7,7.3,12.6,4.98,62
17,3131,弘塑,3255.0,2025,65.1,59.9,26.8,45.3,13.3,57.0,41.2,-4.14,20.3,-0.42,45.48,16.41,28.4,7.96,11.4,2.0,68
18,7805,威聯通,671.0,2025,62.5,5.8,35.4,4.53,13.5,13.9,56.6,-0.68,21.6,1.53,44.56,26.98,19.6,3.55,15.0,2.65,74
19,1590,亞德客-KY,1255.0,2025,343,12.0,158,10.3,84,10.2,46.0,-0.71,24.5,-0.4,42.0,3.88,16.7,-0.13,14.6,1.41,72
20,8299,群聯,1570.0,2025,727,23.3,249,30.2,87.4,9.88,34.2,1.8,12.0,-1.47,41.98,3.03,16.0,-1.31,11.3,-0.57,62
21,2383,台光電,3800.0,2025,943,46.4,281,56.5,146,52.9,29.8,1.92,15.5,0.67,41.67,13.86,34.2,3.33,15.9,1.14,60
22,6409,旭隼,781.0,2025,205,-10.0,59.6,-15.1,35.2,-16.3,29.0,-1.74,17.2,-1.27,40.23,-7.9,36.1,-9.84,20.5,-5.75,64
23,3293,鈊象,775.0,2025,220,19.0,215,20.4,109,19.8,97.6,1.09,49.3,0.33,38.51,6.37,61.2,-2.15,45.6,-1.36,85
24,6781,AES-KY,1040.0,2025,160,59.4,57.5,45.2,32.6,50.4,35.9,-3.51,20.4,-1.22,38.2,12.81,20.7,5.01,14.4,3.29,68
25,3653,健策,4565.0,2025,203,42.0,84.3,57.2,52.8,54.0,41.6,4.02,26.2,2.27,36.75,12.6,28.2,2.85,22.9,2.97,85
26,3708,上緯投控,123.5,2025,10.1,-30.8,1.53,-53.7,38.1,1242.0,15.2,-7.53,379.0,353.0,35.57,32.86,31.0,26.9,22.8,20.3,68
27,7750,新代,1810.0,2025,140,29.2,63.9,34.8,22.8,66.3,45.8,1.9,16.4,3.65,35.12,12.81,28.1,-6.22,16.9,0.47,70
28,4966,譜瑞-KY,546.0,2025,165,1.76,70.3,1.91,27.3,5.19,42.6,0.06,16.5,0.54,34.51,1.96,12.3,-0.08,10.5,0.0,66
29,2207,和泰車,515.0,2025,"2,795",-0.01,494,-2.19,189,-7.65,17.7,-0.39,8.04,-0.53,33.93,-2.81,18.9,-3.43,4.36,-0.45,40
30,7734,印能科技,2505.0,2025,23,27.9,15.3,34.2,9.18,2.72,66.3,3.12,40.3,-9.46,33.5,-11.03,19.2,-13.9,15.4,-7.5,91
31,6223,旺矽,5195.0,2025,134,31.5,74.3,33.6,31.8,38.0,55.6,0.88,23.7,1.14,33.49,9.07,26.6,-0.59,15.7,-0.22,72
32,3406,玉晶光,503.0,2025,250,7.77,81.2,1.6,37,-14.4,32.5,-1.97,14.8,-3.87,32.84,-5.51,14.5,-4.45,8.56,-1.66,64
33,6944,兆聯實業,917.0,2025,169,64.2,38.2,62.8,23.7,56.8,22.6,-0.19,14.0,-0.66,32.29,9.96,38.0,-0.53,18.8,1.72,68
34,2603,長榮,198.0,2025,"3,791",-18.2,927,-47.4,686,-50.8,24.5,-13.5,18.5,-12.5,31.68,-33.19,11.8,-15.0,7.77,-9.73,62
35,6805,富世達,1870.0,2025,124,51.6,32.7,79.0,21.3,73.2,26.3,4.03,17.1,2.13,31.0,13.1,33.4,9.16,15.5,4.17,66
36,6121,新普,348.5,2025,821,2.65,127,11.9,56.6,5.99,15.4,1.28,8.69,0.79,30.6,1.72,16.0,0.8,8.82,0.65,51
37,6139,亞翔,723.0,2025,775,19.0,124,52.3,71.4,64.8,16.0,3.49,11.9,3.25,30.51,11.78,39.0,7.87,12.8,3.02,64
38,6510,精測,3740.0,2025,48.1,33.3,26.7,38.5,9.97,95.6,55.5,2.06,20.5,7.07,30.41,14.86,11.7,5.51,10.3,4.76,81
39,5904,寶雅,510.0,2025,253,7.16,114,7.32,31.4,12.1,45.2,0.07,12.4,0.54,29.54,2.8,41.2,-0.46,10.4,0.1,61
40,8210,勤誠,1020.0,2025,220,51.6,65.9,74.0,35.6,84.0,30.0,3.87,16.6,3.05,29.06,13.01,39.9,9.21,18.3,5.38,64
41,2379,瑞昱,531.0,2025,"1,227",8.21,614,7.37,148,-3.52,50.0,-0.39,12.0,-1.46,28.77,-1.05,28.1,-4.07,12.1,-2.62,60
42,5536,聖暉*,825.0,2025,415,37.1,78.5,19.3,35.3,34.8,18.9,-2.82,11.1,-0.76,28.42,7.33,25.5,1.41,12.2,0.58,57
43,3324,雙鴻,1035.0,2025,233,47.5,63.7,58.3,25.7,35.9,27.4,1.86,11.6,-0.65,28.26,7.03,26.0,2.05,12.5,-0.54,47
44,3443,創意,3255.0,2025,341,36.3,84.5,4.27,37.7,9.24,24.8,-7.61,11.0,-2.74,28.13,2.38,31.1,-1.76,13.8,-0.8,52
45,2360,致茂,2255.0,2025,283,31.0,174,36.7,117,122.0,61.5,2.55,42.1,17.1,27.7,15.21,41.1,18.6,28.2,13.0,77
46,3034,聯詠,415.0,2025,"1,007",-2.07,379,-8.59,163,-19.6,37.7,-2.69,16.2,-3.55,26.87,-6.56,24.1,-6.0,16.4,-3.3,66
47,3529,力旺,4075.0,2025,38.5,6.74,38.5,6.74,19.1,4.23,100.0,0.0,49.8,-0.69,25.6,1.03,51.5,-3.44,41.6,-2.73,95
48,6691,洋基工程,659.0,2025,224,47.1,42.7,41.5,29.9,47.1,19.1,-0.76,13.4,-0.01,24.76,5.4,43.0,8.85,16.9,2.38,59
49,6472,保瑞,416.0,2025,190,9.11,78.5,0.78,29.8,-22.6,41.3,-3.41,16.0,-6.67,23.9,-13.94,18.8,-10.8,6.75,-4.44,55
50,6442,光聖,2155.0,2025,105,64.2,60.8,70.5,17.8,68.2,57.7,2.13,16.9,0.42,23.46,9.16,33.7,-3.0,17.4,-2.97,72
51,6414,樺漢,304.0,2025,"1,423",-2.8,292,1.2,32.1,17.3,20.5,0.81,5.95,1.76,23.26,3.23,14.3,2.49,5.42,0.94,51
52,3260,威剛,368.5,2025,531,32.1,148,68.7,72.9,169.0,27.8,6.03,14.4,7.29,23.18,13.93,35.1,18.1,12.9,6.84,51
53,2308,台達電,1840.0,2025,"5,549",31.8,"1,902",39.2,601,70.6,34.3,1.84,12.2,2.65,23.14,9.58,22.5,6.99,11.6,3.44,64
54,8464,億豐,368.5,2025,300,1.47,176,4.24,66,-4.37,58.8,1.57,23.1,-0.96,22.53,-1.03,23.7,-3.39,17.8,-2.39,83
55,6670,復盛應用,260.0,2025,298,5.01,75.8,0.22,31.2,-17.8,25.4,-1.21,11.6,-2.75,22.45,-5.72,19.5,-8.41,12.2,-5.38,57
56,4523,永彰,30.1,2025,5.74,-7.15,-4.09,-436.0,14.2,1556.0,-71.3,-90.9,164.0,192.0,22.26,23.79,58.6,74.3,35.3,43.1,62
57,5434,崇越,417.0,2025,676,18.6,86.5,12.0,41.8,14.3,12.8,-0.75,6.2,-0.23,21.81,2.52,21.9,-0.04,10.6,-0.04,49
58,5289,宜鼎,1005.0,2025,143,60.0,44.3,56.9,20.4,84.0,31.1,-0.61,14.2,1.78,21.72,9.52,24.1,9.17,16.6,5.08,57
59,3413,京鼎,314.5,2025,208,26.7,52.4,22.2,23.4,-10.6,25.1,-0.92,11.6,-4.28,21.44,-3.78,14.6,-4.91,9.41,-2.88,60
60,6491,晶碩,293.5,2025,70.4,3.26,36.8,-3.81,16.3,-11.1,52.3,-3.84,23.4,-3.74,20.87,-2.6,14.5,-3.14,10.7,-2.31,74
61,7751,竑騰,1895.0,2025,18.6,62.4,10.3,67.2,5.19,76.7,55.5,1.58,28.0,2.39,20.5,8.48,28.3,2.33,17.0,1.95,79
62,1264,德麥,278.0,2025,67.8,-0.4,21.8,-0.87,7.58,-0.38,32.2,-0.15,13.0,-0.12,20.47,-0.08,20.1,-1.87,15.2,-1.88,68
63,4766,南寶,347.5,2025,232,0.95,79.2,5.23,24.4,-9.03,34.1,1.39,11.4,-0.72,20.25,-2.01,16.9,-1.42,9.62,-1.32,55
64,1476,儒鴻,349.5,2025,380,3.15,109,-4.29,55.1,-17.0,28.6,-2.23,14.5,-3.51,20.1,-4.1,18.8,-5.49,15.6,-4.06,64
65,3611,鼎翰,187.0,2025,115,31.0,37.2,36.0,9.33,39.2,32.3,1.18,8.12,0.48,19.63,5.44,17.8,5.12,7.39,1.18,49
66,2368,金像電,1175.0,2025,600,54.0,197,72.7,96.1,71.1,32.8,3.55,16.0,1.59,19.47,7.93,35.1,5.62,16.0,1.51,64
67,2382,廣達,323.0,2025,"21,237",50.5,"1,483",33.9,750,25.6,6.98,-0.87,3.57,-0.7,19.45,3.96,31.2,2.76,6.66,-0.77,38
68,3044,健鼎,411.5,2025,734,11.5,190,24.2,102,22.0,25.9,2.64,13.9,1.19,19.45,3.5,19.6,1.73,11.0,0.78,57
69,6881,潤德,252.0,2025,24.6,22.9,4.71,19.9,2.91,30.0,19.1,-0.49,11.8,0.65,19.42,3.9,32.4,0.0,14.0,0.53,50
70,6596,寬宏藝術,100.5,2025,30.9,78.7,11.6,146.0,7.16,243.0,37.6,10.3,23.2,11.1,18.83,12.56,49.7,29.4,28.4,16.6,72
71,8114,振樺電,174.0,2025,181,30.7,87.9,40.7,19.9,91.3,48.4,3.44,19.6,5.74,18.5,5.95,31.4,4.21,19.0,7.12,81
72,6803,崑鼎,289.5,2025,96.6,13.2,18.6,7.69,13.4,6.53,19.3,-0.99,15.6,-1.3,18.44,1.01,19.9,-0.33,9.99,-0.92,51
73,2247,汎德永業,234.5,2025,514,-10.7,57.5,-10.2,14.8,-23.4,11.2,0.06,2.87,-0.48,18.32,-5.61,11.3,-3.48,6.59,-1.93,49
74,3592,瑞鼎,239.5,2025,224,-8.12,63.9,-12.7,13.8,-34.1,28.5,-1.48,6.18,-2.43,18.24,-9.43,11.7,-6.29,6.9,-3.61,53
75,2376,技嘉,281.5,2025,"3,369",27.1,352,25.2,122,24.5,10.4,-0.15,3.94,-0.11,18.2,3.17,22.8,-0.28,9.94,-1.18,45
76,1795,美時,234.5,2025,205,10.4,119,8.99,47.2,-6.82,58.1,-0.73,23.0,-4.24,18.14,-1.21,21.0,-5.31,6.45,-7.41,64
77,8081,致新,241.0,2025,86.7,5.0,33.8,3.76,15.2,-0.82,39.0,-0.47,17.9,-1.21,17.76,-0.15,16.7,-1.26,13.7,-0.9,66
78,2731,雄獅,159.5,2025,300,6.0,50.6,28.1,16.3,78.3,16.8,2.9,5.51,2.24,17.49,7.68,35.1,12.0,14.4,5.11,60
79,6788,華景電,431.0,2025,25.8,20.0,15.1,18.4,6.73,31.1,58.3,-0.75,25.9,2.43,17.36,3.02,25.1,0.63,18.5,1.28,84
80,6526,達發,506.0,2025,209,9.43,109,8.6,29,7.76,51.9,-0.4,13.5,-0.15,17.32,1.22,13.3,-0.7,10.2,-0.86,72
81,3526,凡甲,273.5,2025,39.3,22.3,19.6,16.1,11.1,8.32,49.9,-2.68,28.1,-3.64,16.97,0.17,27.6,-4.23,15.6,-3.54,77
82,2718,全心投控,47.7,2025,30.2,-28.9,20.2,-41.3,14.8,-52.2,66.9,-14.1,49.0,-23.8,16.94,-18.39,25.8,-55.9,20.7,-36.4,87
83,7744,崴寶,495.0,2025,23.7,59.9,9.11,55.6,4.73,57.4,38.5,-1.08,20.0,-0.32,16.28,5.56,25.8,-4.7,18.1,-0.6,70
84,5209,新鼎,165.5,2025,53.4,-16.4,6.85,19.8,4.59,21.2,12.8,3.88,8.6,2.67,16.16,2.79,43.2,3.23,9.45,1.79,48
85,6739,竹陞科技,1560.0,2025,8.06,96.7,5.3,120.0,3.75,194.0,65.8,6.94,46.5,15.4,16.13,10.1,42.1,19.1,33.9,15.7,89
86,2727,王品,226.0,2025,235,5.21,111,5.7,13.3,2.73,47.5,0.22,5.79,-0.06,16.02,0.36,27.1,0.38,8.06,-0.03,57
87,3563,牧德,957.0,2025,31.9,108.0,19.6,122.0,10.1,215.0,61.3,3.69,32.8,12.2,15.8,10.28,19.2,13.1,16.5,11.1,85
88,6561,是方,373.0,2025,39.4,3.97,20.7,15.3,12.3,14.0,52.6,5.16,31.2,2.8,15.75,1.93,32.6,3.96,16.4,1.77,83
89,3693,營邦,662.0,2025,75.2,-12.0,21.6,-19.9,6.66,-38.7,28.8,-2.86,8.37,-4.36,15.5,-11.8,12.2,-15.4,7.97,-6.58,52
90,6196,帆宣,359.0,2025,516,-15.0,56.5,7.11,32.4,79.8,11.0,2.26,6.14,3.24,15.5,6.56,22.4,7.33,6.08,2.32,51
91,6187,萬潤,1215.0,2025,53.7,-3.04,29.1,7.24,14.9,13.3,54.3,5.21,27.9,4.21,15.46,0.89,21.4,-7.76,16.3,-3.47,83
92,6683,雍智科技,1870.0,2025,21.4,23.0,9.86,7.09,4.19,-12.7,46.1,-6.87,19.6,-8.02,15.42,-2.27,15.9,-4.19,13.0,-3.97,70
93,6488,環球晶,505.0,2025,606,-3.24,146,-26.2,73.1,-25.7,24.1,-7.49,12.1,-3.64,15.29,-5.77,7.93,-4.56,3.3,-1.46,51
94,3515,華擎,223.5,2025,478,86.5,64.8,33.0,18.9,46.5,13.5,-5.44,4.94,-1.22,15.28,4.74,18.6,2.13,10.1,0.81,49
95,4736,泰博,125.5,2025,42,-9.41,19.3,-5.92,14.4,24.4,46.0,1.7,34.8,8.88,15.12,2.97,14.9,2.09,11.7,1.73,79
96,6664,群翊,438.5,2025,25.7,3.07,15.1,16.5,9.14,-8.58,58.8,6.76,35.5,-4.52,15.06,-1.91,22.5,-6.64,10.5,-2.23,74
97,2752,豆府,191.5,2025,40.7,11.6,21.1,11.1,4.01,-3.08,51.9,-0.2,9.95,-1.49,15.04,-0.62,29.1,-3.29,16.7,-1.81,70
98,4536,拓凱,156.5,2025,92,-2.91,32.5,-1.74,13.5,-20.9,35.3,0.42,16.0,-2.89,14.92,-3.94,15.1,-4.71,9.77,-2.21,64
99,4441,振大環球,194.5,2025,74.8,28.3,17.2,19.4,9.28,-0.04,23.1,-1.72,12.4,-3.51,14.79,-0.62,15.6,-4.13,12.8,-3.22,64
100,3130,一零四,221.5,2025,26.7,7.02,23,5.72,4.88,3.98,86.1,-1.06,18.2,-0.53,14.7,0.56,28.7,0.66,12.7,-0.26,61
101,8016,矽創,215.0,2025,190,6.59,58.2,-4.27,17.5,-5.58,30.6,-3.48,11.7,-2.05,14.66,-0.76,13.6,-2.3,10.2,-1.73,66
102,1477,聚陽,215.0,2025,344,-3.08,85.6,-4.75,36.1,-12.2,24.9,-0.44,10.7,-1.09,14.65,-2.03,25.4,-1.83,15.6,-1.78,60
103,7738,東聯互動,180.0,2025,5.65,30.2,3.12,46.5,3.71,58.8,55.1,6.15,65.7,11.9,14.61,5.1,22.6,-2.29,19.8,0.22,91
104,3617,碩天,192.0,2025,119,-4.98,63.7,0.03,13.6,-40.3,53.6,2.69,11.6,-6.89,14.47,-10.28,14.3,-13.1,9.18,-6.99,60
105,6811,宏碁資訊,195.0,2025,96.6,11.2,12,7.19,5.95,10.4,12.4,-0.47,6.16,-0.04,14.36,1.36,26.4,0.2,9.63,0.44,47
106,6782,視陽,235.0,2025,42.2,15.0,19.1,33.9,8.87,39.4,45.2,6.39,21.0,3.61,14.08,3.98,21.7,2.68,15.7,2.96,77
107,7822,倍利科,1575.0,2025,20.8,188.0,12.7,198.0,5.82,293.0,61.4,2.08,28.0,7.41,14.04,10.2,80.5,28.7,31.3,12.3,70
108,1519,華城,872.0,2025,244,20.9,98.9,33.9,44.2,3.11,40.5,3.92,17.9,-3.26,13.99,-0.94,44.6,-12.7,17.4,-5.57,68
109,6605,帝寶,129.5,2025,194,-3.69,61.2,-10.9,23.2,-26.4,31.5,-2.56,12.0,-3.7,13.97,-5.01,11.6,-5.42,7.05,-2.68,53
110,3570,大塚,163.5,2025,24.3,15.7,6.96,11.2,2.38,7.49,28.6,-1.16,9.8,-0.75,13.95,0.97,22.8,-0.38,15.2,-0.34,64
111,5287,數字,161.0,2025,23.2,2.49,16.1,1.75,8.36,10.0,69.2,-0.51,36.1,2.57,13.93,1.26,34.2,-0.42,19.7,-0.03,84
112,3583,辛耘,760.0,2025,114,17.4,38.1,31.2,11.1,19.7,33.5,3.55,10.0,0.48,13.82,2.28,20.1,-0.63,4.71,0.33,53
113,6667,信紘科,288.5,2025,63.5,75.2,12.9,51.1,6.54,48.7,20.3,-3.24,10.1,-1.92,13.77,4.08,28.2,2.57,11.9,0.54,62
114,5439,高技,401.5,2025,96.4,131.0,21.8,239.0,12.8,291.0,22.6,7.21,13.2,5.42,13.74,10.23,40.0,26.8,16.0,9.06,57
115,6446,藥華藥,653.0,2025,156,60.6,140,63.0,50.5,70.1,89.2,1.32,32.3,1.81,13.64,4.68,17.0,5.44,14.7,4.57,85
116,1623,大東電,209.5,2025,66.1,20.5,12.3,24.5,8.17,11.4,18.7,0.6,12.4,-1.01,13.61,1.03,29.9,-6.61,12.1,-0.37,51
117,2317,鴻海,206.0,2025,"81,031",18.1,"4,982",16.1,"1,894",24.0,6.15,-0.11,2.65,0.15,13.61,2.6,11.3,1.55,4.53,0.41,40
118,8416,實威,169.5,2025,17,9.96,8.82,15.1,3.8,22.3,52.0,2.32,22.4,2.26,13.46,2.45,23.9,2.73,18.7,2.18,79
119,2316,楠梓電,114.5,2025,37.4,12.2,-0.18,88.9,24.3,212.0,-0.47,4.29,64.9,41.6,13.38,9.1,21.6,13.3,14.5,9.21,55
120,6613,朋億*,237.5,2025,89.2,-14.1,28.9,-6.77,10.4,-18.7,32.4,2.56,14.8,0.29,13.37,-3.73,19.2,-7.25,10.9,-2.32,64
121,4728,雙美,397.5,2025,20.3,11.4,15.9,7.44,7.26,6.82,78.4,-2.93,35.8,-1.55,13.33,0.86,46.4,0.13,34.4,2.47,95
122,8478,東哥遊艇,171.5,2025,52.3,5.83,20.4,5.51,12.4,32.7,39.0,-0.12,23.8,4.82,13.25,2.88,14.1,1.12,8.12,0.75,61
123,4967,十銓,219.5,2025,204,2.46,29.1,30.9,11.1,110.0,14.3,3.1,5.43,2.79,13.06,6.26,25.1,8.11,8.87,3.22,36
124,6138,茂達,229.0,2025,74.8,22.9,27,24.5,9.51,32.1,36.0,0.47,15.3,1.45,13.04,3.15,24.2,4.49,17.9,3.84,64
125,7711,永擎,301.0,2025,249,183.0,21.2,41.2,8.03,59.1,8.54,-8.55,3.23,-2.51,13.04,4.68,25.9,-20.4,9.99,-5.87,43
126,3023,信邦,282.0,2025,310,-6.24,74.4,-9.7,31.2,-11.4,24.0,-0.92,9.98,-0.67,13.02,-1.68,19.4,-4.58,9.89,-1.62,49
127,6890,來億-KY,175.5,2025,396,5.05,63.5,-14.9,32.5,-14.9,16.0,-3.76,8.63,-2.44,13.02,-3.11,13.5,-5.4,9.73,-4.02,51
128,2451,創見,246.5,2025,171,69.8,80.2,159.0,55.7,141.0,46.8,16.2,32.5,9.56,12.98,7.59,26.0,14.2,23.4,12.8,79
129,6725,矽科宏晟,390.5,2025,38.2,21.0,8.88,-8.73,4.29,-30.4,23.3,-7.58,11.2,-8.3,12.98,-5.7,22.3,-28.3,11.7,-8.42,60
130,2753,八方雲集,181.5,2025,87.9,9.51,31.6,13.8,8.56,42.2,36.0,1.36,9.4,2.04,12.84,3.79,20.7,4.47,11.1,1.9,64
131,6640,均華,1620.0,2025,26.9,10.2,10.5,13.9,3.58,-13.3,39.1,1.26,11.8,-5.13,12.75,-1.87,15.2,-12.1,7.02,-4.42,49
132,4771,望隼,196.0,2025,34.9,16.2,14.3,21.0,7.41,10.6,40.9,1.62,23.2,-1.12,12.71,0.9,19.6,-5.21,12.4,-1.59,70
133,3217,優群,163.0,2025,41.5,19.4,20.7,19.1,11.4,12.8,49.9,-0.15,27.6,-1.62,12.69,1.44,24.5,1.86,19.0,0.92,77
134,3596,智易,177.0,2025,530,8.19,80.9,9.04,27.8,11.7,15.3,0.12,5.24,0.17,12.6,1.32,16.8,0.75,6.6,0.23,43
135,1580,新麥,126.0,2025,48.8,1.82,20.8,-0.1,6.22,-8.81,42.6,-0.82,13.6,-1.6,12.54,-1.05,19.8,-3.29,14.7,-2.52,66
136,3227,原相,198.0,2025,91.3,9.15,55.3,6.61,18.1,-0.19,60.6,-1.44,19.6,-1.86,12.38,-0.14,14.9,-1.85,12.0,-1.57,77
137,4123,晟德,40.4,2025,15.2,-6.28,6.21,-17.0,93.2,945.0,41.0,-5.32,615.0,683.0,12.33,13.88,41.9,47.6,31.0,35.2,68
138,3218,大學光,132.0,2025,42,-0.57,24.8,-2.0,10.4,-2.07,59.1,-0.86,25.1,0.25,12.31,-0.26,26.6,-2.94,17.8,-1.49,81
139,2850,新產,125.5,2025,216,3.4,87.9,11.1,38.8,17.2,40.7,2.81,18.0,2.12,12.28,1.81,19.4,1.4,6.63,0.12,73
140,2395,研華,366.0,2025,709,18.6,282,15.7,106,17.6,39.8,-0.99,14.8,-0.05,12.25,1.8,19.7,1.99,14.2,1.62,62
141,5288,豐祥-KY,159.0,2025,68.1,-6.57,15.2,-5.95,8.48,-25.7,22.4,0.15,12.5,-3.18,12.25,-4.76,13.8,-6.66,11.2,-4.64,64
142,6996,力領科技,185.0,2025,26.9,-9.4,10.8,-9.57,5.06,-14.0,40.2,-0.08,18.8,-1.01,12.15,-3.22,18.6,-8.24,14.6,-5.74,68
143,6274,台燿,946.0,2025,303,31.5,69,29.1,34.1,30.9,22.7,-0.42,11.2,-0.05,12.13,2.57,20.7,0.59,10.4,-1.11,53
144,5284,jpp-KY,318.5,2025,37.3,56.2,14.1,72.6,6.18,1156.0,37.8,3.58,16.5,14.2,12.05,11.03,19.3,17.1,9.24,8.21,51
145,4583,台灣精銳,734.0,2025,30,1.32,15.6,-3.03,9.62,-15.2,52.2,-2.34,32.1,-6.24,12.0,-2.15,9.44,-1.87,8.57,-1.7,82
146,2072,世紀風電,181.0,2025,103,6.33,29.2,38.3,20.3,34.9,28.4,6.58,19.8,4.19,11.94,1.32,10.6,-0.45,8.31,1.36,72
147,7749,意騰-KY,411.5,2025,15.9,85.2,12.1,63.9,5.18,94.8,76.1,-9.88,32.5,1.61,11.77,4.6,20.8,-1.46,18.2,-0.99,93
148,2428,興勤,182.5,2025,80.3,6.85,32.3,8.27,15.1,-2.87,40.2,0.53,18.6,-1.82,11.76,-0.34,13.6,-1.64,9.22,-1.2,68
149,3036,文曄,230.0,2025,"11,779",22.8,476,26.7,135,48.6,4.04,0.12,1.15,0.19,11.61,3.48,12.2,1.76,2.89,0.17,30
150,2327,國巨*,316.5,2025,"1,329",9.26,481,15.1,236,22.1,36.2,1.85,17.9,1.87,11.51,-26.62,14.1,1.13,6.28,0.7,62
151,7765,中華資安,232.0,2025,20.5,3.64,9.6,11.0,4.37,15.2,46.9,3.09,21.4,2.15,11.47,1.0,29.5,-15.8,19.3,-5.46,77
152,2707,晶華,180.5,2025,68.3,8.51,22.3,12.3,14.6,8.13,32.7,1.09,21.2,0.0,11.42,0.85,31.6,4.26,13.7,1.32,64
153,2474,可成,217.0,2025,187,3.18,59,0.64,71.5,-45.9,31.6,-0.8,39.3,-33.7,11.33,-8.07,4.72,-3.47,3.18,-2.21,64
154,4749,新應材,895.0,2025,42.6,28.3,18.4,52.4,10.4,49.7,43.1,6.81,24.5,3.51,11.33,2.83,17.1,-8.8,13.2,-1.06,77
155,8454,富邦媒,175.5,2025,"1,087",-3.46,99.2,-5.69,29.9,-13.4,9.13,-0.22,2.76,-0.31,11.29,-2.4,30.2,-3.91,10.7,-1.35,51
156,5871,中租-KY,118.0,2025,976,-4.62,643,-5.46,198,-12.3,65.9,-0.58,21.3,-1.59,11.24,-2.07,11.0,-2.53,2.12,-0.31,45
157,2615,萬海,75.3,2025,"1,404",-13.3,395,-30.0,315,-33.6,28.2,-6.74,22.4,-6.88,11.21,-5.68,11.7,-8.55,7.67,-5.08,68
158,1256,鮮活果汁-KY,157.0,2025,41.2,2.94,11.4,12.4,3.82,31.9,27.7,2.33,9.29,1.86,11.19,2.63,10.4,2.65,8.37,1.87,62
159,4303,信立,54.5,2025,9.88,164.0,1.76,302.0,10.5,-22.4,17.8,6.12,107.0,-255.0,11.15,-6.51,30.5,-38.3,23.7,-23.9,70
160,7786,東方風能,138.0,2025,105,53.4,26,43.5,17.7,45.4,24.8,-1.72,16.9,-0.93,11.11,3.17,23.5,-4.1,15.3,-0.87,62
161,6894,衛司特,348.5,2025,13.8,40.7,5.03,35.7,2.62,29.2,36.5,-1.32,19.5,-1.77,10.99,2.49,17.1,3.05,13.0,2.01,66
162,2912,統一超,237.5,2025,"3,507",3.79,"1,205",4.43,112,-2.85,34.4,0.21,3.8,-0.26,10.78,-0.32,25.4,-2.11,4.74,-0.47,57
163,6146,耕興,221.0,2025,44.9,-1.34,20.7,-9.41,11,-15.0,46.1,-4.11,25.7,-3.81,10.77,-1.89,18.7,-4.03,14.4,-2.85,74
164,2597,潤弘,165.5,2025,315,20.0,54.8,17.5,33.4,20.4,17.4,-0.37,11.6,0.19,10.75,0.04,33.5,1.73,14.2,1.31,55
