排名,代號,名稱,股價日期,成交,漲跌價,漲跌幅,股利發放年度,股利發放頻率,現金股利,股票股利,合計股利,除息價,除息價現金殖利率,除權價,除權價股票殖利率,除權息合計殖利率,除息交易日,除權交易日,現金股利發放日
57,2937,集雅社,04/17,45.1,-0.2,-0.44,2024,年,2,0,2,35.6,5.62,,0,5.62,'24/07/29,,'24/08/23
58,2947,振宇五金,04/17,78,0,0,2024,半年,1.8,0,1.8,87.2,2.14,,0,2.14,'24/10/08,,'24/11/01
59,3373,熱映,04/17,17.05,+0.05,+0.29,2024,年,1,0,1,27,3.7,,0,3.7,'24/07/01,,'24/07/25
60,3706,神達,04/17,84.1,+1.3,+1.57,2024,年,1.3,0,1.3,56.7,2.29,,0,2.29,'24/03/28,,'24/04/30
61,4138,曜亞,04/17,63.9,+0.7,+1.11,2024,年,6.75,1,7.75,134.5,5.02,103,0.97,5.99,'24/04/18,'24/08/26,'24/05/16
62,4205,中華食,04/17,77.4,+0.3,+0.39,2024,年,3,0,3,94.4,3.18,,0,3.18,'24/07/17,,'24/08/09
63,5206,坤悅,04/17,25.15,-0.25,-0.98,2024,年,1.3,0,1.3,55.3,2.35,,0,2.35,'24/08/01,,'24/08/30
64,5222,全訊,04/17,144.5,+13,+9.89,2024,年,4,1,5,179,2.23,167,0.6,2.83,'24/03/27,'24/08/21,'24/04/24
65,5292,華懋,04/17,230.5,+3,+1.32,2024,年,4.5,1,5.5,182,2.47,182,0.55,3.02,'24/07/11,'24/07/11,'24/08/05
66,6016,康和證,04/17,17.2,+0.1,+0.58,2024,年,0.65,0.5,1.15,15.4,4.22,15.4,3.25,7.47,'24/08/30,'24/08/30,'24/09/25
67,6028,公勝保經,04/17,80.4,-1,-1.23,2024,年,4.5,0,4.5,84.5,5.33,,0,5.33,'24/04/12,,'24/05/17
68,6140,訊達,04/17,18.75,-0.35,-1.83,2024,年,0,0.75,0.75,,0,29.6,2.53,2.53,,'24/09/02,
