排名,代號,名稱,股價日期,成交,漲跌價,漲跌幅,股利發放年度,股利發放頻率,現金股利,股票股利,合計股利,除息價,除息價現金殖利率,除權價,除權價股票殖利率,除權息合計殖利率,除息交易日,除權交易日,現金股利發放日
41,3284,太普高,09/04,20.85,+0.25,+1.21,2026,年,0.5,0,0.5,29,1.72,,0,1.72,'26/07/09,,'26/08/03
42,7839,達人網,09/04,43.95,-0.35,-0.79,2026,年,2.035,0,2.035,47.3,4.3,,0,4.3,'26/07/03,,'26/07/29
43,2374,佳能,09/04,68.3,+0.4,+0.59,2026,年,1.992,0,1.992,69.3,2.87,,0,2.87,'26/08/19,,'26/09/16
44,3317,尼克森,09/04,62.6,+1.6,+2.62,2026,年,0.5,0,0.5,65,0.77,,0,0.77,'26/08/25,,'26/09/17
45,5547,久舜,09/04,19.65,0,0,2026,年,0.68,1.261,1.941,23.2,2.93,23.2,5.44,8.37,'26/07/07,'26/07/07,'26/08/11
46,6446,藥華藥,09/04,1310,-40,-2.96,2026,年,1.49,1.093,2.583,1530,0.1,1530,0.07,0.17,'26/07/09,'26/07/09,'26/08/06
47,2493,揚博,09/04,181.5,+2.5,+1.4,2026,年,4,0,4,270,1.48,,0,1.48,'26/07/09,,'26/08/05
48,8431,匯鑽科,09/04,68.8,+5.1,+8.01,2026,半年,0,0,0,,0,,0,0,,,
49,2729,瓦城,09/04,156,+0.5,+0.32,2026,年,6.93,0,6.93,162.5,4.26,,0,4.26,'26/08/25,,'26/09/18
50,1294,漢田生技,09/04,53.4,0,0,2026,年,3,2,5,79.5,3.77,79.5,2.52,6.29,'26/07/03,'26/07/03,'26/07/31
51,9933,中鼎,09/04,40.4,-0.4,-0.98,2026,年,0.763,0.191,0.954,40.4,1.89,40.4,0.47,2.36,'26/09/08,'26/09/08,'26/10/08
52,3563,牧德,09/04,693,+17,+2.51,2026,半年,13,0,13,675,1.92,,0,1.92,'26/06/29,,'26/07/24
53,3546,宇峻,09/04,71.5,+0.2,+0.28,2026,年,2,0.5,2.5,83.5,2.4,83.5,0.6,2.99,'26/07/07,'26/07/07,'26/08/11
54,1231,聯華食,09/04,80.6,+0.6,+0.75,2026,年,1.5,1,2.5,90.3,1.66,90.3,1.11,2.77,'26/07/30,'26/07/30,'26/09/04
55,1519,華城,09/04,746,+24,+3.32,2026,年,11,1,12,713,1.54,713,0.14,1.68,'26/08/05,'26/08/05,'26/08/26
56,2520,冠德,09/04,37.1,+0.2,+0.54,2026,年,1.616,0,1.616,34.7,4.66,,0,4.66,'26/08/10,,'26/09/04
57,2855,統一證,09/04,50.7,+0.1,+0.2,2026,年,2.11,0,2.11,52,4.06,,0,4.06,'26/06/23,,'26/07/17
58,2937,集雅社,09/04,44.3,+0.2,+0.45,2026,年,2.1,1,3.1,48.65,4.32,48.65,2.06,6.37,'26/03/30,'26/08/31,'26/05/22
59,2947,振宇五金,09/04,61.7,+0.2,+0.33,2026,半年,1.1,1,2.1,80,1.38,79.5,1.26,2.63,'26/03/26,'26/07/06,'26/04/24
60,3373,熱映,09/04,16.35,-0.05,-0.3,2026,年,0.1,1,1.1,16.65,0.6,16.35,6.12,6.72,'26/08/28,,'26/09/24
61,3706,神達,09/04,92.5,+1,+1.09,2026,年,3,1,4,92.5,3.24,92.5,1.08,4.32,'26/09/09,'26/09/09,'26/10/08
62,4138,曜亞,09/04,53.1,+0.4,+0.76,2026,年,4.2,0,4.2,65.5,6.41,,0,6.41,'26/04/23,,'26/05/14
63,4205,中華食,09/04,69.8,+0.1,+0.14,2026,年,3.5,0,3.5,74.7,4.69,,0,4.69,'26/07/17,,'26/08/12
64,5206,坤悅,09/04,23.6,+0.25,+1.07,2026,年,1,0.5,1.5,22.6,4.42,22.6,2.21,6.64,'26/07/16,'26/07/16,'26/08/14
65,5222,全訊,09/04,104.5,+0.5,+0.48,2026,年,2.5,1,3.5,135,1.85,117.5,0.85,2.7,'26/03/30,'26/08/20,'26/04/27
66,5292,華懋,09/04,220.5,+1.5,+0.68,2026,年,5.5,1,6.5,223.5,2.46,223.5,0.45,2.91,'26/07/09,'26/07/09,'26/08/03
67,6016,康和證,09/04,22.4,+1,+4.67,2026,年,0.155,1.25,1.405,24.45,0.63,24.45,5.11,5.75,'26/07/27,'26/07/27,'26/08/20
68,6028,公勝保經,09/04,96.6,-1,-1.02,2026,年,6,0,6,90.2,6.65,,0,6.65,'26/04/09,,'26/05/08
69,6140,訊達,09/04,16.7,+0.15,+0.91,2026,年,0,0,0,,0,,0,0,,,
70,6612,奈米醫材,09/04,70.6,-0.3,-0.42,2026,年,0.302,1.008,1.31,73.5,0.41,73.5,1.37,1.78,'26/08/26,'26/08/26,'26/09/24
71,6703,軒郁,09/04,103.5,+1.5,+1.47,2026,半年,4.8,1,5.8,120.5,3.98,117,0.85,4.84,'26/03/26,'26/07/16,'26/04/30
72,6796,晉弘,09/04,59.7,+0.4,+0.67,2026,年,0.25,0,0.25,60,0.42,,0,0.42,'26/07/24,,'26/08/14
73,6877,鏵友益,09/04,110.5,+0.5,+0.45,2026,年,0.5,0,0.5,125,0.4,,0,0.4,'26/07/20,,'26/08/13
74,7820,立盈,09/04,118,0,0,2026,年,1.5,0,1.5,120,1.25,,0,1.25,'26/06/16,,'26/07/14
75,6712,長聖,09/04,157,+0.5,+0.32,2026,年,3.5,0.5,4,143.5,2.44,139,0.36,2.8,'26/04/16,'26/05/14,'26/05/08
76,8349,恒耀,09/04,38.95,-0.05,-0.13,2026,年,1.536,0,1.536,40.6,3.78,,0,3.78,'26/06/26,,'26/07/29
77,4737,華廣,09/04,58.6,+0.9,+1.56,2026,年,0,0,0,,0,,0,0,,,
78,4114,健喬,09/04,29.8,+0.2,+0.68,2026,年,0.848,0.798,1.647,33.25,2.55,33.25,2.4,4.95,'26/07/17,'26/07/17,'26/08/20
79,3128,昇銳,09/04,20.1,+0.05,+0.25,2026,年,0.4,0.6,1,22.95,1.74,22.95,2.61,4.36,'26/08/26,'26/08/26,'26/09/30
80,2614,東森,09/04,18.3,+0.15,+0.83,2026,年,0.4,0.8,1.2,18.3,2.19,18.3,4.37,6.56,'26/10/06,'26/10/06,'26/11/23
81,3434,哲固,09/04,29.6,+0.1,+0.34,2026,年,1.2,0,1.2,31.1,3.86,,0,3.86,'26/08/24,,'26/09/16
82,4911,德英,09/04,29.85,0,0,2026,年,1.166,0.8,1.966,35.15,3.32,35.15,2.28,5.59,'26/07/28,'26/07/28,'26/08/20
83,5864,致和證,09/04,37.15,+0.85,+2.34,2026,年,0.5,1.1,1.6,46.15,1.08,46.15,2.38,3.47,'26/07/03,'26/07/03,'26/08/07
84,6958,日盛台駿,09/04,17.35,+0.15,+0.87,2026,年,0,0.502,0.502,,0,18.65,2.69,2.69,,'26/08/11,
85,2812,台中銀,09/04,19.35,-0.1,-0.51,2026,年,0.39,0.67,1.06,20.65,1.89,20.65,3.24,5.13,'26/08/04,'26/08/04,'26/09/09
86,1240,茂生農經,09/04,55.5,+0.5,+0.91,2026,年,3,0.5,3.5,58.1,5.16,58,0.86,6.03,'26/07/15,'26/09/02,'26/08/12
87,2838,聯邦銀,09/04,20.85,+0.2,+0.97,2026,年,0.46,0.6,1.06,22.95,2,22.95,2.61,4.62,'26/07/15,'26/07/15,'26/08/14
88,5525,順天,09/04,22.15,+0.15,+0.68,2026,年,1.2,0,1.2,23.25,5.16,,0,5.16,'26/08/06,,'26/09/04
89,6865,偉康科技,09/04,25.55,+0.45,+1.79,2026,年,1.402,0,1.402,34.55,4.06,,0,4.06,'26/03/26,,'26/04/22
90,8401,白紗科,09/04,22.75,-0.05,-0.22,2026,年,1.2,0,1.2,26.6,4.51,,0,4.51,'26/03/27,,'26/04/24
91,3073,天方能源,09/04,22.6,0,0,2026,年,0,0,0,,0,,0,0,,,
92,2546,根基,09/04,107.5,+0.5,+0.47,2026,年,4.8,1.2,6,99.1,4.84,99.1,1.21,6.05,'26/08/10,'26/08/10,'26/09/04
93,2834,臺企銀,09/04,17,-0.1,-0.58,2026,年,0.3,0.7,1,18.2,1.65,18.2,3.85,5.49,'26/08/04,'26/08/04,'26/09/02
94,4741,泓瀚,09/04,40.35,-0.05,-0.12,2026,年,0.3,0,0.3,64.6,0.46,,0,0.46,'26/06/22,,'26/07/10
95,6294,智基,09/04,28.75,0,0,2026,年,3,0,3,41.9,7.16,,0,7.16,'26/04/16,,'26/05/13
96,6266,泰詠,09/04,24.75,+0.15,+0.61,2026,年,1.78,0,1.78,27.4,6.5,,0,6.5,'26/06/11,,'26/07/10
97,1225,福懋油,09/04,25,+0.1,+0.4,2026,年,1,0,1,25,4,,0,4,,,
98,4716,大立,09/04,17.3,+0.2,+1.17,2026,年,0,0,0,,0,,0,0,,,
99,4123,晟德,09/04,30.15,-0.4,-1.31,2026,年,1.747,0.499,2.246,34.3,5.09,34.3,1.45,6.55,'26/08/17,'26/08/17,'26/09/11
100,2515,中工,09/04,12.15,+0.2,+1.67,2026,年,0,0.501,0.501,,0,13.9,3.6,3.6,,'26/07/16,
101,6913,鴻呈,09/04,151,+2,+1.34,2026,年,2.5,0,2.5,136,1.84,,0,1.84,'26/06/10,,'26/07/06
102,6752,叡揚,09/04,96.3,-0.7,-0.72,2026,年,4.5,0.3,4.8,118.5,3.8,99.8,0.3,4.1,'26/03/27,'26/08/25,'26/04/27
103,3086,華義*,09/04,29.6,-0.4,-1.33,2026,年,0,0,0,,0,,0,0,,,
104,6735,美達科技,09/04,63.3,+2.5,+4.11,2026,年,0.7,0,0.7,66.8,1.05,,0,1.05,'26/07/21,,'26/08/10
105,6219,富旺,09/04,12.6,+0.2,+1.61,2026,季,0,0,0,,0,,0,0,,,
106,1229,聯華,09/04,41.85,-0.25,-0.59,2026,季,1.801,0.2,2.001,42.7,4.22,42.7,0.47,4.69,'26/07/08,'26/07/08,'26/08/06
107,1615,大山,09/04,44,-0.3,-0.68,2026,年,2.5,0.1,2.6,46.55,5.37,46.55,0.21,5.59,'26/07/21,'26/07/21,'26/08/07
108,1734,杏輝,09/04,30.6,0,0,2026,年,1,0.6,1.6,32.55,3.07,32.5,1.85,4.92,'26/07/24,'26/08/27,'26/08/28
109,2528,皇普,09/04,20.25,+0.45,+2.27,2026,半年,1.5,1.5,3,26.95,5.57,22,6.82,12.4,'26/03/26,'26/07/28,'26/05/15
110,2542,興富發,09/04,48.55,-0.1,-0.21,2026,年,4,0,4,48.55,8.24,,0,8.24,'26/09/23,,'26/10/30
111,2548,華固,09/04,94.6,+1.1,+1.18,2026,年,8,0.5,8.5,122.5,6.53,102,0.49,7.02,'26/06/02,'26/07/22,'26/06/25
112,2801,彰銀,09/04,26.6,0,0,2026,年,0.8,0.25,1.05,25.2,3.17,25.2,0.99,4.17,'26/08/05,'26/08/05,'26/08/31
113,3557,嘉威,09/04,24.2,+0.2,+0.83,2026,年,0.3,0,0.3,26.4,1.14,,0,1.14,'26/07/06,,'26/07/31
114,4104,佳醫,09/04,70.9,+0.1,+0.14,2026,年,4.3,0,4.3,78.6,5.47,,0,5.47,'26/04/23,,'26/05/21
115,4111,濟生,09/04,28.7,+0.05,+0.17,2026,年,1.3,0,1.3,30.1,4.32,,0,4.32,'26/08/25,,'26/09/22
116,4148,全宇生技-KY,09/04,31.8,+0.5,+1.6,2026,半年,1,0,1,30.45,3.28,,0,3.28,'26/07/08,,'26/07/31
117,4760,勤凱,09/04,264,+6,+2.33,2026,年,4.5,0.199,4.699,196.5,2.29,261,0.08,2.37,'26/04/01,'26/09/01,'26/07/08
118,4768,晶呈科技,09/04,306,+15.5,+5.34,2026,年,0.85,0.15,1,315,0.27,315,0.05,0.32,'26/08/25,'26/08/25,'26/09/30
119,4912,聯德控股-KY,09/04,102,+0.5,+0.49,2026,季,1.8,0,1.8,102,1.67,,0,1.67,'26/09/10,,'26/10/15
120,5706,鳳凰,09/04,44.7,0,0,2026,年,4.539,0,4.539,51.5,8.81,,0,8.81,'26/06/29,,'26/07/24
121,6177,達麗,09/04,49.2,+0.45,+0.92,2026,年,3,0,3,48.4,6.2,,0,6.2,'26/08/20,,'26/09/15
122,6279,胡連,09/04,117.5,-0.5,-0.42,2026,年,5.5,0,5.5,127,4.33,,0,4.33,'26/09/03,,'26/10/08
123,7556,意德士,09/04,248.5,+3.5,+1.43,2026,年,4.042,0.493,4.535,282,1.43,282,0.17,1.61,'26/07/09,'26/07/09,'26/08/14
124,8404,百和興業-KY,09/04,16.2,-0.05,-0.31,2026,年,0.5,0,0.5,16.65,3,,0,3,'26/08/04,,'26/08/31
125,8454,富邦媒,09/04,245,+7,+2.94,2026,年,10,0,10,449.5,2.22,,0,2.22,'26/06/11,,'26/07/14
126,9941,裕融,09/04,81.3,+0.4,+0.49,2026,年,4.38,0.2,4.58,86.9,5.04,86.9,0.23,5.27,'26/09/01,'26/09/01,'26/09/23
127,8403,盛弘,09/04,19,0,0,2026,年,0.6,0,0.6,19.55,3.07,,0,3.07,'26/08/25,,'26/09/23
128,6922,宸曜,09/04,208.5,+7.5,+3.73,2026,年,4.83,0,4.83,186,2.6,,0,2.6,'26/07/06,,'26/07/24
129,2250,IKKA-KY,09/04,57.6,+0.5,+0.88,2026,年,3,0,3,62.3,4.82,,0,4.82,'26/08/28,,'26/10/02
130,5392,能率,09/04,42.95,-0.05,-0.12,2026,年,0.2,0.2,0.4,48.3,0.41,48.3,0.41,0.83,'26/08/31,'26/08/31,'26/10/05
131,6259,百徽,09/04,30.15,+1.2,+4.15,2026,半年,0.349,0,0.349,32.05,1.09,,0,1.09,'26/07/27,,'26/08/20
132,1464,得力,09/04,10.1,+0.05,+0.5,2026,年,0.25,0,0.25,10.6,2.36,,0,2.36,'26/07/20,,'26/08/06
133,8932,智通*,09/04,91.4,+1.7,+1.9,2026,年,0.721,0.48,1.201,105,0.69,105,0.46,1.14,'26/08/28,'26/08/28,'26/09/18
134,3552,同致,09/04,43,+0.05,+0.12,2026,年,0.5,0,0.5,47.8,1.05,,0,1.05,'26/07/27,,'26/08/21
135,5514,三豐,09/04,15.05,+0.05,+0.33,2026,年,0,0,0,,0,,0,0,,,
136,2890,永豐金,09/04,42.85,+0.25,+0.59,2026,年,1.1,0.2,1.3,40.4,2.72,40.4,0.5,3.22,'26/07/23,'26/07/23,'26/08/24
137,2948,寶陞,09/04,38.15,+1.35,+3.67,2026,年,1.929,0.323,2.251,38.65,4.99,38.65,0.83,5.82,'26/08/10,'26/08/10,'26/08/31
138,1449,佳和,09/04,12.25,+0.1,+0.82,2026,年,0,0.1,0.1,,0,12.25,0.82,0.82,,,
139,2236,百達-KY,09/04,121.5,-3,-2.41,2026,半年,0.4,0.25,0.65,121.5,0.33,121.5,0.21,0.53,,,
140,6464,台數科,09/04,77.6,+0.8,+1.04,2026,半年,1.33,0.4,1.73,78.4,1.7,78.4,0.51,2.21,'26/07/17,'26/07/17,'26/08/14
141,8908,欣雄,09/04,39.95,0,0,2026,年,1.5,0.304,1.804,42.4,3.54,41.4,0.74,4.27,'26/03/26,'26/09/03,'26/04/28
142,1453,大將,09/04,11.15,+0.05,+0.45,2026,年,0,0.3,0.3,,0,11.7,2.56,2.56,,'26/08/28,
143,2836,高雄銀,09/04,12.25,0,0,2026,年,0.4,0.1,0.5,13,3.08,13,0.77,3.85,'26/07/29,'26/07/29,'26/09/02
144,2885,元大金,09/04,69.8,+1.3,+1.9,2026,年,1.8,0.4,2.2,62.9,2.86,68.3,0.59,3.45,'26/07/21,'26/08/18,'26/08/14
145,5880,合庫金,09/04,26.65,-0.05,-0.19,2026,年,0.8,0.25,1.05,26.1,3.07,26.1,0.96,4.02,'26/08/11,'26/08/11,'26/09/11
146,8423,保綠-KY,09/04,18.2,+0.05,+0.28,2026,年,0.7,0,0.7,18.2,3.85,,0,3.85,'26/09/14,,'26/10/08
147,2889,國票金,09/04,16.6,+0.15,+0.91,2026,年,0.5,0.089,0.589,15.95,3.13,15.95,0.56,3.69,'26/09/01,'26/09/01,'26/09/16
148,5236,凌陽創新,09/04,137.5,+1.5,+1.1,2026,年,9,0,9,181,4.97,,0,4.97,'26/06/03,,'26/07/01
149,4572,駐龍,09/04,141.5,+1.5,+1.07,2026,年,4.998,0,4.998,153,3.27,,0,3.27,'26/07/16,,'26/08/12
150,5548,安倉,09/04,20.55,+0.05,+0.24,2026,年,0.988,0.89,1.878,24.05,4.11,24.05,3.7,7.81,'26/07/21,'26/07/21,'26/08/25
151,2845,遠東銀,09/04,13.65,0,0,2026,年,0.514,0.12,0.634,13.65,3.77,13.65,0.88,4.64,'26/09/02,'26/09/02,'26/09/30
152,2881,富邦金,09/04,150.5,+3.5,+2.38,2026,年,4.25,0,4.25,129.5,3.28,,0,3.28,'26/07/01,,'26/07/31
153,2892,第一金,09/04,37.3,+0.45,+1.22,2026,年,1.3,0,1.3,34.95,3.72,,0,3.72,'26/08/11,,'26/08/28
154,3548,兆利,09/04,83.2,+2.2,+2.72,2026,年,1,0,1,76,1.32,,0,1.32,'26/07/28,,'26/08/25
155,5213,亞昕,09/04,20.9,0,0,2026,年,2.8,0,2.8,26.8,10.4,,0,10.4,'26/06/08,,'26/06/30
156,6423,億而得,09/04,85.4,+0.9,+1.07,2026,年,1,0,1,89.8,1.11,,0,1.11,'26/03/26,,'26/04/23
157,2038,海光,09/04,12.75,+0.15,+1.19,2026,年,0,0,0,,0,,0,0,,,
158,4306,炎洲,09/04,15.25,0,0,2026,年,0.7,0,0.7,15.5,4.52,,0,4.52,'26/07/13,,'26/08/07
159,4549,桓達,09/04,102.5,+2,+1.99,2026,年,3,0.2,3.2,92.5,3.24,102.5,0.2,3.44,'26/07/29,'26/09/08,'26/08/21
160,5607,遠雄港,09/04,56.8,-0.4,-0.7,2026,年,1.8,0,1.8,49.1,3.67,,0,3.67,'26/07/30,,'26/08/27
161,5871,中租-KY,09/04,111.5,0,0,2026,年,5.8,0.2,6,120,4.83,120,0.17,5,'26/07/29,'26/07/29,'26/09/01
162,5906,台南-KY,09/04,38,0,0,2026,年,0.2,0.5,0.7,38,0.53,38,1.32,1.84,'26/09/10,'26/09/10,'26/10/15
163,6870,騰雲,09/04,290,+2,+0.69,2026,年,3.212,1.976,5.188,319.5,1.01,319.5,0.62,1.62,'26/07/21,'26/07/21,'26/08/14
164,6968,萬達寵物,09/04,41.7,-0.05,-0.12,2026,年,1.3,0.2,1.5,44,2.95,44,0.45,3.41,'26/08/24,'26/08/24,'26/09/17
165,1514,亞力,09/04,102,+1.5,+1.49,2026,年,2,0.2,2.2,98.7,2.03,98.7,0.2,2.23,'26/07/30,'26/07/30,'26/09/04
166,3588,通嘉,09/04,52.4,+0.5,+0.96,2026,年,0.499,0,0.499,68,0.73,,0,0.73,'26/07/09,,'26/08/14
167,5289,宜鼎,09/04,1360,+15,+1.12,2026,年,16.83,0.199,17.03,1500,1.12,1500,0.01,1.14,'26/08/27,'26/08/27,'26/10/02
168,2442,新美齊,09/04,19.3,0,0,2026,年,2.032,0.711,2.743,19.3,10.5,19.3,3.68,14.2,'26/09/08,'26/09/08,'26/10/08
169,1609,大亞,09/04,37.35,+0.35,+0.95,2026,年,0.7,0,0.7,38.65,1.81,,0,1.81,'26/06/23,,'26/07/15
170,2884,玉山金,09/04,43.55,+0.35,+0.81,2026,年,1.4,0,1.4,34.45,4.06,,0,4.06,'26/07/01,,'26/07/27
171,2883,凱基金,09/04,36.7,+0.8,+2.23,2026,年,1,0,1,29.65,3.37,,0,3.37,'26/06/30,,'26/07/31
172,2880,華南金,09/04,44,+0.55,+1.27,2026,年,1.35,0.1,1.45,43.2,3.12,43.2,0.23,3.36,'26/08/13,'26/08/13,'26/08/28
173,5904,寶雅*,09/04,72.1,+1.5,+2.12,2026,年,25.5,0,25.5,677,3.77,,0,3.77,'26/07/16,,'26/08/07
174,8104,錸寶,09/04,30.65,+0.2,+0.66,2026,年,0,0,0,,0,,0,0,,,
175,3665,貿聯-KY,09/04,2145,+45,+2.14,2026,年,15.18,0,15.18,1775,0.86,,0,0.86,'26/07/15,,'26/08/18
176,0050,元大台灣50,09/04,107.9,+1.7,+1.6,2026,半年,1.6,0,1.6,99.2,2,,0,2,'26/07/21,,'26/08/10
177,0051,元大中型100,09/04,145.95,+1.95,+1.35,,,,,,,,,,,,,
178,0052,富邦科技,09/04,62.7,+1.1,+1.79,2026,年,1.199,0,1.199,50.05,2.4,,0,2.4,'26/04/20,,'26/05/15
179,0053,元大電子,09/04,243.65,+3.95,+1.65,,,,,,,,,,,,,
180,0055,元大MSCI金融,09/04,49,+0.8,+1.66,,,,,,,,,,,,,
181,0056,元大高股息,09/04,55.4,+0.9,+1.65,2026,季,3.216,0,3.216,49.95,7.32,,0,7.32,'26/07/21,,'26/08/10
182,0057,富邦摩台,09/04,321.6,+3.85,+1.21,,,,,,,,,,,,,
183,0061,元大寶滬深,09/04,24.36,+0.31,+1.29,,,,,,,,,,,,,
489,1101,台泥,09/04,24.6,+0.15,+0.61,2026,年,0.8,0,0.8,24.05,3.33,,0,3.33,'26/07/01,,'26/07/28
491,1102,亞泥,09/04,35.1,-0.1,-0.28,2026,季,2.3,0,2.3,34.8,6.61,,0,6.61,'26/07/16,,'26/08/14
492,1103,嘉泥,09/04,13.3,+0.05,+0.38,2026,年,0.522,0,0.522,13.55,3.85,,0,3.85,'26/07/23,,'26/08/21
493,1104,環泥,09/04,27.7,-0.1,-0.36,2026,年,1.85,0,1.85,28.95,6.39,,0,6.39,'26/06/24,,'26/07/24
494,1108,幸福,09/04,11.65,+0.05,+0.43,2026,半年,1,0,1,13.7,7.3,,0,7.3,'26/07/16,,'26/08/06
495,1109,信大,09/04,13.5,+0.05,+0.37,2026,年,0.9,0,0.9,14.65,6.14,,0,6.14,'26/07/16,,'26/08/14
