排名,代號,名稱,股價日期,成交,漲跌價,漲跌幅,股利發放年度,股利發放頻率,現金股利,股票股利,合計股利,除息價,除息價現金殖利率,除權價,除權價股票殖利率,除權息合計殖利率,除息交易日,除權交易日,現金股利發放日
1,2540,愛山林,09/04,47.15,0,0,2026,年,6,0,6,54.9,10.9,,0,10.9,'26/08/10,,'26/08/27
2,3056,富華新,09/04,14.1,+0.1,+0.71,2026,年,0.616,0,0.616,14.85,4.15,,0,4.15,'26/07/23,,'26/08/14
3,6221,晉泰,09/04,21.45,-0.05,-0.23,2026,年,1.2,0,1.2,23.05,5.21,,0,5.21,'26/08/27,,'26/09/24
4,1436,華友聯,09/04,38.35,+0.2,+0.52,2026,年,5.048,0,5.048,45.3,11.1,,0,11.1,'26/07/23,,'26/08/21
5,2364,倫飛,09/04,67.4,+1.4,+2.12,2026,年,2,1,3,76.8,2.6,76.8,1.3,3.91,'26/08/28,'26/08/28,'26/10/02
6,2743,山富,09/04,59.1,+0.6,+1.03,2026,年,3.2,0,3.2,59.1,5.41,,0,5.41,'26/09/08,,'26/10/05
7,7689,大鵬科CLMX,09/04,172.5,+2,+1.17,2026,年,5.5,0,5.5,250,2.2,,0,2.2,'26/06/23,,'26/07/24
8,7734,印能科技,09/04,2890,+180,+6.64,2026,年,19.85,0,19.85,3190,0.62,,0,0.62,'26/07/06,,'26/07/30
9,7610,聯友金屬-創,09/04,1820,+165,+9.97,2026,年,0.5,2.001,2.501,2650,0.02,2650,0.08,0.09,'26/07/13,'26/07/13,'26/08/17
10,2949,欣新網,09/04,60.8,0,0,2026,年,2.031,0,2.031,59,3.44,,0,3.44,'26/07/30,,'26/08/27
11,1235,興泰,09/04,38.05,+0.05,+0.13,2026,年,0.5,0.5,1,38.05,1.31,38.05,1.31,2.63,,,
12,1773,勝一,09/04,162.5,+1.5,+0.93,2026,年,4,0,4,177.5,2.25,,0,2.25,'26/06/17,,'26/07/16
13,2230,泰茂,09/04,22.8,+0.8,+3.64,2026,年,0.609,0,0.609,25.55,2.38,,0,2.38,'26/07/01,,'26/07/24
14,2539,櫻花建,09/04,35,-0.1,-0.28,2026,年,0.6,2.2,2.8,41.25,1.45,41.25,5.33,6.79,'26/08/20,'26/08/20,'26/09/24
15,2597,潤弘,09/04,169,+1,+0.6,2026,年,9.67,0,9.67,183.5,5.27,,0,5.27,'26/06/18,,'26/07/03
16,4303,信立,09/04,34.7,-0.8,-2.25,2026,年,1,4,5,54.6,1.83,54.6,7.33,9.16,'26/08/27,'26/08/27,'26/09/24
17,5283,禾聯碩,09/04,54.2,+0.4,+0.74,2026,半年,0.4,1.6,2,61.1,0.65,61.1,2.62,3.27,'26/08/28,'26/08/28,'26/10/02
18,6482,弘煜科,09/04,25.15,+0.4,+1.62,2026,年,2,0,2,29,6.9,,0,6.9,'26/08/25,,'26/09/22
19,7730,暉盛-創,09/04,186.5,-1.5,-0.8,2026,年,1,0.5,1.5,185,0.54,185,0.27,0.81,'26/08/28,'26/08/28,'26/09/30
20,6189,豐藝,09/04,48.15,+0.1,+0.21,2026,年,2.7,0,2.7,53.4,5.06,,0,5.06,'26/06/25,,'26/07/24
21,6472,保瑞,09/04,416,+4.5,+1.09,2026,半年,10,0,10,384,2.6,,0,2.6,'26/07/31,,'26/08/26
22,2755,揚秦,09/04,100.5,-2,-1.95,2026,年,3.45,2.465,5.915,137.5,2.51,137.5,1.79,4.3,'26/07/16,'26/07/16,'26/08/20
23,2543,皇昌,09/04,38.45,+0.1,+0.26,2026,半年,1.028,0,1.028,37.45,2.74,,0,2.74,'26/08/04,,'26/08/28
24,8927,北基,09/04,19.55,+0.05,+0.26,2026,年,0.306,0,0.306,21.05,1.45,,0,1.45,'26/08/10,,'26/09/04
25,6720,久昌,09/04,131.5,0,0,2026,年,3.5,0,3.5,173,2.02,,0,2.02,'26/03/19,,'26/04/22
26,6590,普鴻,09/04,66,+0.5,+0.76,2026,半年,2.8,1.5,4.3,72,3.89,66,2.27,6.16,'26/04/01,'26/09/08,'26/04/24
27,3483,力致,09/04,80,+1.8,+2.3,2026,年,3,0,3,76.4,3.93,,0,3.93,'26/08/04,,'26/09/02
28,6691,洋基工程,09/04,619,+16,+2.65,2026,年,21,1,22,706,2.97,706,0.14,3.12,'26/08/20,'26/08/20,'26/09/24
29,6762,達亞,09/04,165,0,0,2026,年,0.5,0.5,1,176.5,0.28,176.5,0.28,0.57,'26/07/10,'26/07/10,'26/08/17
30,6873,泓德能源,09/04,68.1,0,0,2026,年,2.538,0,2.538,68.6,3.7,,0,3.7,'26/08/25,,'26/09/22
31,6955,邦睿生技-創,09/04,100,+1.1,+1.11,2026,年,1.5,2.25,3.75,167,0.9,120,1.88,2.77,'26/03/19,'26/08/26,'26/04/10
32,8440,綠電,09/04,20.2,+0.15,+0.75,2026,年,0.2,0,0.2,22.25,0.9,,0,0.9,'26/06/17,,'26/07/16
33,5386,青雲,09/04,258.5,-1.5,-0.58,2026,年,1.5,5,6.5,378,0.4,378,1.32,1.72,'26/07/20,'26/07/20,'26/08/14
34,4161,聿新科,09/04,22.8,+0.1,+0.44,2026,年,0.7,0,0.7,23.1,3.03,,0,3.03,'26/07/16,,'26/08/14
35,4554,橙的,09/04,29.3,+0.1,+0.34,2026,年,0.5,1.5,2,32.75,1.53,32.75,4.58,6.11,'26/08/25,'26/08/25,'26/09/29
36,6186,新潤,09/04,31.3,-0.45,-1.42,2026,年,5.008,0,5.008,42.45,11.8,,0,11.8,'26/08/06,,'26/08/31
37,8099,大世科,09/04,61.2,-0.3,-0.49,2026,年,2.1,0,2.1,61.2,3.43,,0,3.43,'26/09/07,,'26/09/30
38,6469,大樹,09/04,67.4,+0.2,+0.3,2026,年,3.158,0.6,3.757,77.4,4.08,77.4,0.77,4.85,'26/08/04,'26/08/04,'26/08/26
39,8089,康全電訊,09/04,17.05,-0.05,-0.29,2026,年,0,0,0,,0,,0,0,,,
40,3147,大綜,09/04,223.5,+8.5,+3.95,2026,年,6.5,0,6.5,224,2.9,,0,2.9,'26/08/21,,'26/09/18
